name,region,raw_locality,status
Lyce de LEMBE-YEZOUM,CENTRE,1 er degre,CLEARLY_INVALID
Lyce de MBANDJOCK,CENTRE,2e DEGRE,CLEARLY_INVALID
CES d'OUASSA-BAMVELE,CENTRE,3e degre Oussa Bamvele,NEEDS_REVIEW
CES de DEA,CENTRE,CHEFFERIE DE DEA,POSSIBLE_REAL_LOCALITY
Lyce Bilingue de NANGA-EBOKO,CENTRE,3me DEGRE,CLEARLY_INVALID
Lyce de NKOTENG,CENTRE,3me DEGRE,CLEARLY_INVALID
Lyce de KOKODO,CENTRE,OUI,CLEARLY_INVALID
CES de VOA II,CENTRE,Oui,CLEARLY_INVALID
CES de BOKAGA II,CENTRE,3e degre,CLEARLY_INVALID
Lyce Bilingue de NGAMBE-TIKAR,CENTRE,1,CLEARLY_INVALID
Lyce d'ANGUISSA,CENTRE,1,CLEARLY_INVALID
Lyce Bilingue de MENDONG,CENTRE,3e DEGRE DE MENDONG,NEEDS_REVIEW
CES de ZALOM,CENTRE,1,CLEARLY_INVALID
Lyce de MBALMAYO-RURAL,CENTRE,2,CLEARLY_INVALID
Lyce d'AKWA,LITTORAL,OUI,CLEARLY_INVALID
Lyce d'OYACK,LITTORAL,3me DEGRE,CLEARLY_INVALID
Lyce d'AKWA-NORD,LITTORAL,3e DEGRE,CLEARLY_INVALID
Lyce de BABOUTCHEU-NGALEU,OUEST,OUI,CLEARLY_INVALID
Lyce de KEKEM,OUEST,CHEFFERIE SUPERIEURE DU 3EME DEGRE,POSSIBLE_REAL_LOCALITY
Lyce de BALOUMGOU,OUEST,Oui,CLEARLY_INVALID
Lyce de FOTO-LIVOUNLI,OUEST,OUI,CLEARLY_INVALID
Lyce de FONGO-TONGO,OUEST,2 DEGRE,CLEARLY_INVALID
Lyce de BANSOA-MBRI,OUEST,CHEFFERIE SUPERIEURE BANSOA (2e DEGRE),POSSIBLE_REAL_LOCALITY
CES de NJICHOM,OUEST,OUI,CLEARLY_INVALID
Lyce de NJINGOUMBE ET NJITAPON,OUEST,Chefferie Njingoumbe/Chefferie Njitapon,POSSIBLE_REAL_LOCALITY
CES de MATTA-BARRAGE,OUEST,MATTA 3E DEGRE,NEEDS_REVIEW
CES de YAMBA,ADAMAOUA,3me DEGRE YAMBA,NEEDS_REVIEW
Lyce de MEIDOUGOU,ADAMAOUA,3me Degre de MEIDOUGOU,NEEDS_REVIEW
Lyce Bilingue de BELEL,ADAMAOUA,3,CLEARLY_INVALID
CES d'HANGLOA,ADAMAOUA,3,CLEARLY_INVALID
Lyce de WACK,ADAMAOUA,2 DEGRE WACK,NEEDS_REVIEW
Lyce d'HOULA,NORD,3,CLEARLY_INVALID
Lyce de PADARME,NORD,OUI,CLEARLY_INVALID
Lyce Bilingue de KOLLERE-GAROUA,NORD,3 DEGRE KOLLERE,NEEDS_REVIEW
CES de SONAYO,NORD,3,CLEARLY_INVALID
CES de LANGUI,NORD,3e degre,CLEARLY_INVALID
Lyce de NDJOLA,NORD,3e DEGRE,CLEARLY_INVALID
CES de MBAKA,NORD,3e DEGRE,CLEARLY_INVALID
CES de NGASSA,EXTREME-NORD,CHEFFERIE DOURSOUNGO,POSSIBLE_REAL_LOCALITY
Lyce de KATOUAL,EXTREME-NORD,KATOUAL 2e degre,NEEDS_REVIEW
Lyce de MAKABAYE,EXTREME-NORD,3me DEGRE DE MAKABAYE,NEEDS_REVIEW
Lyce de MESKINE,EXTREME-NORD,1r DEGRE DE MESKINE,NEEDS_REVIEW
Lyce Bilingue de GUISSIA,EXTREME-NORD,1,CLEARLY_INVALID
CES de BAIGA,EXTREME-NORD,2E DEGRE,CLEARLY_INVALID
Lyce Bilingue de DJONGDONG,EXTREME-NORD,2E DEGRE,CLEARLY_INVALID
Lyce de TOUKOU,EXTREME-NORD,1,CLEARLY_INVALID
Lyce de DOUBANE,EXTREME-NORD,2e degre,CLEARLY_INVALID
Lyce de GOING-LARA,EXTREME-NORD,OUI,CLEARLY_INVALID
Lyce de MINDJIL,EXTREME-NORD,OUI,CLEARLY_INVALID
Lyce Bilingue de BOUKOULA,EXTREME-NORD,2emeDEGRE,NEEDS_REVIEW
Lyce de ZOUVOUL,EXTREME-NORD,2,CLEARLY_INVALID
CES de GOLIGUECHE,EXTREME-NORD,OUI,CLEARLY_INVALID
Lyce de ZIDIM,EXTREME-NORD,3 DEGRE,CLEARLY_INVALID
